status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10158196398061509,"Evangelical Jerry Falwell Jr. compares his support for President Donald J. Trump to that of supporters of Bill Clinton, ""who stuck with him no matter what he was accused of, even rape"" https://cnn.it/2GkMV2f",Burnett: Where's the line for you on Trump?,video,https://www.facebook.com/cnn/videos/10158196398061509/,https://www.facebook.com/cnn/videos/10158196398061509/,2018-03-31 01:26:07,1779,1362,223,450,18,102,474,64,671
5550296508_10158196360206509,"He never knew it, but Draylen Mason had been accepted into the prestigious Oberlin Conservatory of Music before he was killed",Austin bombing victim Draylen Mason admitted to prestigious Ohio music school before his death,link,https://cnn.it/2Ic4Pkf,https://www.facebook.com/cnn/posts/10158196360206509,2018-03-31 01:00:16,3088,69,403,825,106,15,1,2104,37
5550296508_10158196302786509,It's a good year for those who leave their taxes to the last minute. You're getting a two-day reprieve.,The last day to file taxes in 2018 isn't April 15,link,https://cnn.it/2I8wCCf,https://www.facebook.com/cnn/posts/10158196302786509,2018-03-31 00:30:06,260,31,65,236,15,8,1,0,0
5550296508_10158196224386509,"The concern that led to the adoption of the amendment ""is a relic of the 18th century,"" the retired Supreme Court justice wrote",Retired Justice Stevens argues for repeal of Second Amendment,link,https://cnn.it/2J17FtD,https://www.facebook.com/cnn/posts/10158196224386509,2018-03-31 00:00:12,3062,435,324,2425,325,50,61,3,198
5550296508_10158196147431509,"Through his foundation, Barack Obama says he hopes to ""create a hundred, or a thousand, or a million young Barack Obamas or Michelle Obamas""",Barack Obama wants to inspire 'a million' young Obamas,link,https://cnn.it/2pP719L,https://www.facebook.com/cnn/posts/10158196147431509,2018-03-30 23:30:01,19152,1050,1878,14490,4113,40,397,22,90
5550296508_10158196086441509,"Linda Brown, who as a little girl was at the center of the Brown v. Board of Education US Supreme Court case that ended segregation in schools, died this week. Brown was 9 years old when her father tried to enroll her at an all-white school in Topeka, Kansas.","Linda Brown, woman at center of Brown v. Board of Education case, dies",link,https://cnn.it/2IbTf8U,https://www.facebook.com/cnn/posts/10158196086441509,2018-03-30 23:00:12,2299,94,557,1236,164,20,4,873,2
5550296508_10158195998276509,"Micheal Brown stared at the acceptance letter in front of him: It said yes.

So did the next one. And the one after that.",He applied to 20 of the best colleges and got a full ride to all of them,link,https://cnn.it/2J8cwJN,https://www.facebook.com/cnn/posts/10158195998276509,2018-03-30 22:30:04,62091,1072,10265,41739,17302,2876,90,71,13
5550296508_10158195931051509,"Is this one of JFK's most famous speeches? On June 11, 1963, President Kennedy surprised his staff by deciding the day had come to address the nation on civil rights. #TheKennedys Sunday at 9p.",Timeline Photos,photo,https://www.facebook.com/cnn/photos/a.369810096508.159795.5550296508/10158195931051509/?type=3,https://www.facebook.com/cnn/posts/10158195931051509:0,2018-03-30 22:01:02,4376,174,1317,3865,472,31,5,3,0
5550296508_10158195891601509,He jokingly pitched a colorful portrait of a screaming Donald J. Trump in a bathrobe eating two scoops of ice cream to the Smithsonian National Portrait Gallery.,Jim Carrey has been trolling Trump and the GOP with paintings. Here are the top 11,link,https://cnn.it/2pWmc0O,https://www.facebook.com/cnn/posts/10158195891601509,2018-03-30 21:45:04,34698,1405,3590,23740,4542,180,6074,25,137
5550296508_10158195852276509,New footage shows Kim Jong Un holding court inside armored train https://cnn.it/2GGKnL7,New footage shows Kim Jong Un holding court inside armored train,video,https://www.facebook.com/cnn/videos/10158195852276509/,https://www.facebook.com/cnn/videos/10158195852276509/,2018-03-30 21:29:17,3283,197,495,2919,38,94,224,1,7
5550296508_10158195827576509,"If Russia aimed a long range missile like the ""Satan 2"" it just tested or North Korea suddenly targeted the headquarters of the US nuclear arsenal, top commanders would have a small window to get to safety. The US is ready for such a scenario.",On board the 'Doomsday' plane that can wage nuclear war,link,https://cnn.it/2J73Y5L,https://www.facebook.com/cnn/posts/10158195827576509,2018-03-30 21:16:02,3076,396,806,2514,45,251,51,169,46
5550296508_10158195796216509,"""Schwarzenegger is awake and his first words were actually 'I'm back', so he is in good spirits,"" his representative tweeted",Arnold Schwarzenegger has open-heart surgery to replace valve,link,https://cnn.it/2pTRc1w,https://www.facebook.com/cnn/posts/10158195796216509,2018-03-30 21:00:06,5456,248,782,4609,406,278,116,47,0
5550296508_10158195746546509,"Getting a haircut can be an assault on the senses for kids like Jordie Rowland, so this barber is setting aside a day at her shop reserved just for children with special needs.",A barber soothes a child with autism by singing to him -- and finds a new purpose,link,https://cnn.it/2pTG3Og,https://www.facebook.com/cnn/posts/10158195746546509,2018-03-30 20:45:02,4763,111,584,3511,1217,27,7,1,0
